endpoint,operation,data_size,time
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,8
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,8
client,verify,512,8
client,digest,512,6
server,verify,512,7
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,8
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,8
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,8
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,8
server,verify,512,9
server,digest,512,7
client,verify,512,9
client,digest,512,6
server,verify,512,8
server,digest,512,8
client,verify,512,8
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,8
server,verify,512,8
server,digest,512,7
client,verify,512,10
client,digest,512,8
server,verify,512,8
server,digest,512,7
client,verify,512,10
client,digest,512,7
server,verify,512,8
server,digest,512,8
client,verify,512,11
client,digest,512,9
server,verify,512,12
server,digest,512,7
client,verify,512,12
client,digest,512,8
server,verify,512,8
server,digest,512,11
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,10
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,8
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,8
client,verify,512,9
client,digest,512,8
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,8
server,verify,512,9
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,8
client,digest,512,8
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,9
server,digest,512,8
client,verify,512,11
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,8
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,12
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
client,digest,512,8
server,verify,512,8
server,digest,512,8
client,verify,512,8
client,digest,512,7
server,verify,512,9
server,digest,512,9
client,verify,512,9
client,digest,512,8
server,verify,512,8
server,digest,512,10
client,verify,512,8
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,8
client,digest,512,7
server,verify,512,9
server,digest,512,7
client,verify,512,8
client,digest,512,8
server,verify,512,8
server,digest,512,8
client,verify,512,9
client,digest,512,7
server,verify,512,8
server,digest,512,7
client,verify,512,9
