endpoint,operation,data_size,time
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,7
server,decrypt,56,10
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,7
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,7
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,9
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,7
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,7
client,encrypt,56,9
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,9
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,9
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,10
client,encrypt,56,8
server,decrypt,56,10
server,encrypt,56,8
client,decrypt,56,7
client,encrypt,56,9
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,10
client,encrypt,56,9
server,decrypt,56,17
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,9
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,9
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,9
client,encrypt,56,9
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,7
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,7
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,8
client,decrypt,56,10
client,encrypt,56,8
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,9
client,decrypt,56,8
client,encrypt,56,9
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,9
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,9
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,9
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,13
client,encrypt,56,8
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,11
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,7
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,9
client,decrypt,56,14
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,9
client,decrypt,56,8
client,encrypt,56,9
server,decrypt,56,18
server,encrypt,56,9
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,19
server,encrypt,56,8
client,decrypt,56,19
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,7
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,7
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,10
client,encrypt,56,9
server,decrypt,56,7
server,encrypt,56,7
client,decrypt,56,8
client,encrypt,56,7
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,9
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,9
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,8
server,decrypt,56,17
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,8
client,decrypt,56,8
client,encrypt,56,9
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,9
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,8
server,encrypt,56,8
client,decrypt,56,17
client,encrypt,56,8
server,decrypt,56,9
server,encrypt,56,9
client,decrypt,56,8
client,encrypt,56,9
server,decrypt,56,18
server,encrypt,56,8
client,decrypt,56,18
client,encrypt,56,9
