endpoint,operation,msglen,time
client,encrypt,256,8
server,decrypt,256,14
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,10
client,encrypt,256,8
server,decrypt,256,11
server,encrypt,256,8
client,decrypt,256,10
client,encrypt,256,24
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,7
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,10
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,13
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,10
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,10
client,encrypt,256,9
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,9
client,decrypt,256,10
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,10
client,encrypt,256,13
server,decrypt,256,15
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,15
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,10
client,encrypt,256,7
server,decrypt,256,16
server,encrypt,256,9
client,decrypt,256,9
client,encrypt,256,9
server,decrypt,256,10
server,encrypt,256,8
client,decrypt,256,10
client,encrypt,256,8
server,decrypt,256,15
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,24
client,decrypt,256,14
client,encrypt,256,15
server,decrypt,256,14
server,encrypt,256,8
client,decrypt,256,15
client,encrypt,256,9
server,decrypt,256,15
server,encrypt,256,13
client,decrypt,256,15
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,11
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,7
client,decrypt,256,9
client,encrypt,256,13
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,11
server,decrypt,256,11
server,encrypt,256,13
client,decrypt,256,10
client,encrypt,256,7
server,decrypt,256,14
server,encrypt,256,9
client,decrypt,256,15
client,encrypt,256,8
server,decrypt,256,14
server,encrypt,256,8
client,decrypt,256,15
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,10
client,encrypt,256,9
server,decrypt,256,16
server,encrypt,256,9
client,decrypt,256,10
client,encrypt,256,8
server,decrypt,256,15
server,encrypt,256,7
client,decrypt,256,10
client,encrypt,256,8
