endpoint,operation,data_size,time
client,digest,64,5
server,verify,64,7
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,8
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,6
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,15
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,7
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,14
server,digest,64,5
client,verify,64,14
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,7
client,digest,64,7
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,6
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,6
server,digest,64,6
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,5
client,verify,64,4
client,digest,64,7
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,6
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,7
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,14
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,4
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,6
client,verify,64,7
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,7
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,6
client,verify,64,4
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,4
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,5
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,5
client,digest,64,4
server,verify,64,5
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
server,verify,64,4
server,digest,64,4
client,verify,64,4
client,digest,64,4
server,verify,64,4
server,digest,64,4
client,verify,64,5
client,digest,64,4
server,verify,64,4
server,digest,64,5
client,verify,64,4
client,digest,64,5
